super_opeid,name,czname,state,par_median,k_median,par_q1,par_top1pc,kq5_cond_parq1,ktop1pc_cond_parq1,mr_kq5_pq1,mr_ktop1_pq1,trend_parq1,trend_bottom40,count,unitid,year,fips_ipeds,slevel,fourcat,public,private,forprofit,selective,more_selective,non_selective,total_enrollment,col_white,mkt_white,dif_white,col_hispa,mkt_hispa,dif_hispa,col_black,mkt_black,dif_black,col_asian,mkt_asian,dif_asian,col_amind,mkt_amind,dif_amind,col_pacis,mkt_pacis,dif_pacis,col_twora,mkt_twora,dif_twora
2165,MCPHS University,Boston,MA,83300,112700,10.234574,0.77554816,91.293564,9.4175987,9.3435068,0.96385115,-1.5396656,-5.4528561,173.5,166656,2015,Massachusetts,4-year,Private Selective,0,1,0,1,0,0,3877,41.68171,65.14648,-23.46476,4.900696,12.5791,-7.678404,6.551457,7.823575,-1.272118,23.88445,5.797951,18.0865,0.2579314,0.2704484,-0.012517,0.1031726,0.044333,0.0588396,0.9027599,3.445392,-2.542633
2165,MCPHS University,Boston,MA,83300,112700,10.234574,0.77554816,91.293564,9.4175987,9.3435068,0.96385115,-1.5396656,-5.4528561,173.5,166656,2016,Massachusetts,4-year,Private Selective,0,1,0,1,0,0,3791,41.30836,64.85173,-23.54337,6.436296,12.74525,-6.308956,6.937484,7.846808,-0.9093248,23.45028,5.86474,17.58554,0.2110261,0.3045267,-0.0935006,0.0527565,0.0543371,-0.0015806,1.609074,3.56373,-1.954656
2165,MCPHS University,Boston,MA,83300,112700,10.234574,0.77554816,91.293564,9.4175987,9.3435068,0.96385115,-1.5396656,-5.4528561,173.5,166656,2017,Massachusetts,4-year,Private Selective,0,1,0,1,0,0,3837,39.35366,64.40562,-25.05196,6.880375,13.0562,-6.175824,7.401616,7.895831,-0.4942149,21.8921,6.019489,15.87262,0.2084962,0.3120107,-0.1035145,0.1303101,0.0592025,0.0711077,1.954652,3.650363,-1.695711
2687,CUNY Brooklyn College,New York,NY,52200,44300,23.247004,0.78585011,34.696301,0.71291935,8.0658493,0.16573238,-2.6277237,-3.8919907,1009.666666666667,190549,2009,New York,4-year,Public Selective,1,0,0,1,0,0,12021,40.86182,35.79483,5.066991,12.05391,22.9677,-10.91379,25.42218,18.82316,6.599018,15.83895,7.601141,8.237806,0.1247816,0.2429126,-0.118131,NA,0.0250624,NA,NA,2.116087,NA
2687,CUNY Brooklyn College,New York,NY,52200,44300,23.247004,0.78585011,34.696301,0.71291935,8.0658493,0.16573238,-2.6277237,-3.8919907,1009.666666666667,190549,2010,New York,4-year,Public Selective,1,0,0,1,0,0,11740,40.31516,33.02071,7.294455,13.63714,24.50934,-10.87221,23.87564,18.63351,5.24213,16.59285,8.348046,8.244799,0.1192504,0.6003009,-0.4810505,0.0936968,0.0657619,0.0279349,0.4258944,3.389231,-2.963336
2687,CUNY Brooklyn College,New York,NY,52200,44300,23.247004,0.78585011,34.696301,0.71291935,8.0658493,0.16573238,-2.6277237,-3.8919907,1009.666666666667,190549,2011,New York,4-year,Public Selective,1,0,0,1,0,0,12162,40.0592,33.54406,6.51514,14.12597,24.35719,-10.23122,23.81187,18.45397,5.357906,16.89689,8.350336,8.546556,0.1397796,0.3214723,-0.1816926,0.1151126,0.057244,0.0578687,0.6495642,2.536592,-1.887027
2687,CUNY Brooklyn College,New York,NY,52200,44300,23.247004,0.78585011,34.696301,0.71291935,8.0658493,0.16573238,-2.6277237,-3.8919907,1009.666666666667,190549,2012,New York,4-year,Public Selective,1,0,0,1,0,0,12125,40.43711,33.18571,7.251409,14.44948,24.61156,-10.16207,22.91959,18.51663,4.402956,17.08041,8.399444,8.680968,0.1402062,0.3425518,-0.2023456,0.1649484,0.048677,0.1162714,0.8329897,2.700087,-1.867098
2687,CUNY Brooklyn College,New York,NY,52200,44300,23.247004,0.78585011,34.696301,0.71291935,8.0658493,0.16573238,-2.6277237,-3.8919907,1009.666666666667,190549,2013,New York,4-year,Public Selective,1,0,0,1,0,0,12625,37.95644,32.78613,5.1703,17.90099,24.76022,-6.859231,21.86931,18.47477,3.394541,17.38614,8.392591,8.993546,0.1584158,0.3603119,-0.2018961,0.229703,0.0529984,0.1767046,1.156436,2.815218,-1.658783
2687,CUNY Brooklyn College,New York,NY,52200,44300,23.247004,0.78585011,34.696301,0.71291935,8.0658493,0.16573238,-2.6277237,-3.8919907,1009.666666666667,190549,2014,New York,4-year,Public Selective,1,0,0,1,0,0,12925,34.85493,32.28151,2.573428,20.27853,24.82952,-4.550987,22.17408,18.35412,3.819965,17.74081,8.456154,9.284658,0.2011605,0.3817883,-0.1806277,0.270793,0.0451303,0.2256627,1.485493,3.093053,-1.60756
2687,CUNY Brooklyn College,New York,NY,52200,44300,23.247004,0.78585011,34.696301,0.71291935,8.0658493,0.16573238,-2.6277237,-3.8919907,1009.666666666667,190549,2015,New York,4-year,Public Selective,1,0,0,1,0,0,13172,32.68296,32.0939,0.5890638,21.75068,24.89301,-3.142324,21.6444,18.23304,3.41136,18.31916,8.621916,9.697246,0.2353477,0.3749244,-0.1395767,0.167021,0.0458084,0.1212125,1.662618,3.073842,-1.411224
